relationship,run_id,run,method,seed,target_module,layer,predictor,outcome,slope,intercept,correlation,r_squared,n_points
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,down_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.07414726316928864,0.08926326036453242,0.9217591728585143,0.8496399727488124,4
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,down_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.07016320228576657,0.08816449344158177,0.9251853812898052,0.8559679897523622,4
delta_m_vs_delta_d,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,k_proj,,delta_direction,delta_magnitude_rel,1.3730794634670638,-0.0008383592736442517,0.9837154493254215,0.967696085241516,24
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,k_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.04842606782913208,0.05972742661833764,0.925147442767186,0.8558977908586637,4
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,k_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.025441583991050704,0.032436177134513855,0.9254370715941177,0.8564337734806962,4
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,k_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.03266914933919907,0.03486138023436068,0.9422268566578315,0.8877914494072977,4
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,k_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.03300808519124984,0.0331841818988323,0.9347515842680667,0.8737605242916606,4
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,k_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.03440423756837843,0.03475693240761758,0.939977826257078,0.8835583138549816,4
coefficient_update_vs_checkpoint,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,k_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.03926165550947189,0.03970451280474661,0.934841693002138,0.8739289909751037,4
delta_m_vs_delta_d,lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,q_proj,,delta_direction,delta_magnitude_paper,0.7851306565735302,0.00025185942311086915,0.9940655184291842,0.9881662549298827,24
