run_id,run,method,seed,snapshot,step,checkpoint_fraction,layer,target_module,quantized_base,delta_direction,delta_magnitude_paper,delta_magnitude_rel,coefficient_update_rel,effective_weight_update_rel,quant_delta_direction,total_delta_direction,quant_delta_magnitude_paper,quant_delta_magnitude_rel,total_delta_magnitude_paper,total_delta_magnitude_rel
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,4,v_proj,False,0.014560016803443432,0.007852474227547646,0.018328683450818062,0.16021043062210083,0.15893439948558807,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,5,v_proj,False,0.01852794736623764,0.008044755086302757,0.022707801312208176,0.18857695162296295,0.18644356727600098,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,0,down_proj,False,0.01268856506794691,0.009011434391140938,0.009003459475934505,0.15894758701324463,0.15742728114128113,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,1,down_proj,False,0.009891009889543056,0.00874307844787836,0.008719370700418949,0.14192244410514832,0.14042647182941437,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,2,down_proj,False,0.011409456841647625,0.008882426656782627,0.008759352378547192,0.15196141600608826,0.15077106654644012,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,3,down_proj,False,0.012201600708067417,0.008994085714221,0.009073416702449322,0.15666747093200684,0.1553003191947937,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,4,down_proj,False,0.011235462501645088,0.00895756110548973,0.00926245003938675,0.1502600610256195,0.14914749562740326,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,5,down_proj,False,0.01070362888276577,0.009074685163795948,0.00931659433990717,0.14614562690258026,0.14507818222045898,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,0,k_proj,False,0.007203022018074989,0.007573636248707771,0.00575638934969902,0.09564701467752457,0.09447015821933746,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,1,k_proj,False,0.0020526216831058264,0.006468025967478752,0.005066622979938984,0.051826443523168564,0.051964931190013885,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,2,k_proj,False,0.00355825899168849,0.007327589672058821,0.00544468779116869,0.06239894777536392,0.06240066885948181,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,3,k_proj,False,0.002804272109642625,0.0077491095289587975,0.005713861435651779,0.0636318027973175,0.06373261660337448,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,4,k_proj,False,0.00248840544372797,0.007479835767298937,0.005704810377210379,0.0617607906460762,0.06185927614569664,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,5,k_proj,False,0.004567015450447798,0.008327526040375233,0.006208638194948435,0.07420293986797333,0.07409907132387161,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,0,q_proj,False,0.011374957859516144,0.0076654995791614056,0.00862141139805317,0.11492820084095001,0.11363514512777328,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,1,q_proj,False,0.004854379687458277,0.0068415626883506775,0.007674441672861576,0.07769321650266647,0.07772800326347351,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,2,q_proj,False,0.007188600022345781,0.007666096556931734,0.008814815431833267,0.09354916960000992,0.09332463890314102,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,3,q_proj,False,0.005735987331718206,0.007764948066323996,0.008871511556208134,0.0928657278418541,0.09284873306751251,,,,,,
